,title,url,price,km,body_type,matic,petrol,location
167,2011 Alfa Romeo Giulietta QV Manual,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-13340982/?Cr=258,"$12,500*","110,000 km",Hatch,Manual,4cyl 1.7L Turbo Petrol,VIC
168,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20948655/?Cr=264,"$95,990",20 km,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
169,2022 Alfa Romeo Stelvio Veloce Auto AWD MY22,/cars/details/2022-alfa-romeo-stelvio-veloce-auto-awd-my22/OAG-AD-20961436/?Cr=265,"$99,990",Build date Apr 2022,SUV,Automatic,4cyl 2.0L Turbo Petrol,VIC
170,2022 Alfa Romeo Giulia Veloce Auto MY22,/cars/details/2022-alfa-romeo-giulia-veloce-auto-my22/OAG-AD-20961564/?Cr=266,"$83,290",20 km,Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
171,2017 Alfa Romeo Giulia Quadrifoglio Auto,/cars/details/2017-alfa-romeo-giulia-quadrifoglio-auto/OAG-AD-20730543/?Cr=267,"$95,982","59,500 km",Sedan,Automatic,6cyl 2.9L Turbo Petrol,VIC
172,2021 Alfa Romeo Stelvio Veloce Auto AWD MY21,/cars/details/2021-alfa-romeo-stelvio-veloce-auto-awd-my21/OAG-AD-20383271/?Cr=268,"$84,888","14,885 km",SUV,Automatic,4cyl 2.0L Turbo Petrol,WA
173,2022 Alfa Romeo Giulia Quadrifoglio Auto MY22,/cars/details/2022-alfa-romeo-giulia-quadrifoglio-auto-my22/OAG-AD-20980612/?Cr=269,"$165,490",Build date Apr 2022,Sedan,Automatic,6cyl 2.9L Turbo Petrol,QLD
174,2014 Alfa Romeo Giulietta Progression Manual,/cars/details/2014-alfa-romeo-giulietta-progression-manual/SSE-AD-13317240/?Cr=270,"$14,500*","59,687 km",Hatch,Manual,4cyl 1.4L Turbo Petrol,QLD
175,2020 Alfa Romeo Giulia Veloce Auto MY20,/cars/details/2020-alfa-romeo-giulia-veloce-auto-my20/OAG-AD-20774812/?Cr=271,"$74,999","27,613 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,VIC
176,2018 Alfa Romeo Giulia Veloce Auto,/cars/details/2018-alfa-romeo-giulia-veloce-auto/OAG-AD-20845212/?Cr=272,"$54,999","50,931 km",Sedan,Automatic,4cyl 2.0L Turbo Petrol,TAS
177,1974 Alfa Romeo 2000 GT Veloce Manual,/cars/details/1974-alfa-romeo-2000-gt-veloce-manual/SSE-AD-12484104/?Cr=273,"$59,500*","29,000 km",Coupe,Manual,4cyl 2000L Petrol,VIC
