,id,year,brand,model,description,price,odometer,bodytype,cylinder,volume,turbo,fueltype,hybrid,electric,state,url
301,SSE-AD-13310882,2012,alfa romeo,giulietta,auto,12500,92047.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2012-alfa-romeo-giulietta-auto/SSE-AD-13310882/?Cr=417
302,SSE-AD-12066823,2008,alfa romeo,159,jtd auto,9700,145000.0,wagon,5,2.4,True,diesel,False,False,NSW,/cars/details/2008-alfa-romeo-159-jtd-auto/SSE-AD-12066823/?Cr=418
303,SSE-AD-13106513,2006,alfa romeo,166,ti auto my06,12900,135898.0,sedan,6,3.0,False,petrol,False,False,VIC,/cars/details/2006-alfa-romeo-166-ti-auto-my06/SSE-AD-13106513/?Cr=419
304,SSE-AD-13231690,2017,alfa romeo,giulietta,super auto,26000,56819.0,hatch,4,1.4,True,petrol,False,False,NSW,/cars/details/2017-alfa-romeo-giulietta-super-auto/SSE-AD-13231690/?Cr=420
305,SSE-AD-13293675,2007,alfa romeo,brera,jts manual,17000,96160.0,coupe,4,2.2,False,petrol,False,False,SA,/cars/details/2007-alfa-romeo-brera-jts-manual/SSE-AD-13293675/?Cr=421
306,SSE-AD-13294445,2002,alfa romeo,156,gta manual,32000,132500.0,sedan,6,3.2,False,petrol,False,False,SA,/cars/details/2002-alfa-romeo-156-gta-manual/SSE-AD-13294445/?Cr=422
307,SSE-AD-11898780,1969,alfa romeo,1750,gt veloce manual,105000,49571.0,coupe,4,1750.0,False,petrol,False,False,NSW,/cars/details/1969-alfa-romeo-1750-gt-veloce-manual/SSE-AD-11898780/?Cr=423
308,SSE-AD-7318682,2017,alfa romeo,giulia,veloce auto,39900,123456.0,sedan,4,2.0,True,petrol,False,False,QLD,/cars/details/2017-alfa-romeo-giulia-veloce-auto/SSE-AD-7318682/?Cr=424
309,SSE-AD-13290386,2011,alfa romeo,giulietta,qv manual,15500,100000.0,hatch,4,1.7,True,petrol,False,False,VIC,/cars/details/2011-alfa-romeo-giulietta-qv-manual/SSE-AD-13290386/?Cr=425
310,SSE-AD-13291932,2018,alfa romeo,giulia,veloce auto,52000,58500.0,sedan,4,2.0,True,petrol,False,False,NSW,/cars/details/2018-alfa-romeo-giulia-veloce-auto/SSE-AD-13291932/?Cr=426
311,SSE-AD-12759144,2013,alfa romeo,giulietta,distinctive jtd-m auto my12,13499,94000.0,hatch,4,2.0,True,diesel,False,False,VIC,/cars/details/2013-alfa-romeo-giulietta-distinctive-jtd-m-auto-my12/SSE-AD-12759144/?Cr=427
312,SSE-AD-12430620,1985,alfa romeo,alfetta,gtv6 manual,70000,70000.0,coupe,6,2.5,False,petrol,False,False,NSW,/cars/details/1985-alfa-romeo-alfetta-gtv6-manual/SSE-AD-12430620/?Cr=428
313,SSE-AD-13280178,2008,alfa romeo,gt,manual,24900,86201.0,coupe,6,3.2,False,petrol,False,False,NSW,/cars/details/2008-alfa-romeo-gt-manual/SSE-AD-13280178/?Cr=429
314,SSE-AD-12328362,2014,alfa romeo,giulietta,progression auto,14000,83000.0,hatch,4,1.4,True,petrol,False,False,SA,/cars/details/2014-alfa-romeo-giulietta-progression-auto/SSE-AD-12328362/?Cr=430
315,SSE-AD-13062427,1998,alfa romeo,gtv,v6 manual,28200,45500.0,coupe,6,3.0,False,petrol,False,False,NSW,/cars/details/1998-alfa-romeo-gtv-v6-manual/SSE-AD-13062427/?Cr=431
316,SSE-AD-13277379,1965,alfa romeo,2600,sprint manual,115000,20053.0,coupe,6,2600.0,False,petrol,False,False,NSW,/cars/details/1965-alfa-romeo-2600-sprint-manual/SSE-AD-13277379/?Cr=432
317,SSE-AD-12433662,2015,alfa romeo,giulietta,quadrifoglio verde auto,34999,30800.0,hatch,4,1.8,True,petrol,False,False,NSW,/cars/details/2015-alfa-romeo-giulietta-quadrifoglio-verde-auto/SSE-AD-12433662/?Cr=433
318,SSE-AD-7302273,2007,alfa romeo,spider,jts v6 auto,39900,85000.0,convertible,6,3.2,False,petrol,False,False,VIC,/cars/details/2007-alfa-romeo-spider-jts-v6-auto/SSE-AD-7302273/?Cr=434
319,SSE-AD-7021498,1972,alfa romeo,spider,manual,64990,39465.0,convertible,4,2.0,False,petrol,False,False,VIC,/cars/details/1972-alfa-romeo-spider-manual/SSE-AD-7021498/?Cr=435
320,SSE-AD-12919266,2019,alfa romeo,giulia,quadrifoglio auto my19,92990,16500.0,sedan,6,2.9,True,petrol,False,False,QLD,/cars/details/2019-alfa-romeo-giulia-quadrifoglio-auto-my19/SSE-AD-12919266/?Cr=436
